time_utc,vram_mb,pid,ppid,rss_kb,vsz_kb,stat,cmd
2026-05-31 03:04:18,11067,821012,821010,2477592,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:18,11067,821076,821012,932988,21398584,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:23,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:23,11067,821012,821010,2477592,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:23,11067,821076,821012,932988,21398584,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:29,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:29,11067,821012,821010,2477604,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:29,11067,821076,821012,935796,21401392,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:34,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:34,11067,821012,821010,2477604,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:34,11067,821076,821012,935776,21401392,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:39,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:39,11067,821012,821010,2477608,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:39,11067,821076,821012,943004,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:44,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:44,11067,821012,821010,2477608,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:44,11067,821076,821012,943004,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:49,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:49,11067,821012,821010,2477608,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:49,11067,821076,821012,1051648,21520196,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:54,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:54,11067,821012,821010,2477612,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:54,11067,821076,821012,943004,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:59,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:04:59,11067,821012,821010,2477608,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:04:59,11067,821076,821012,943004,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:04,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:05:04,11067,821012,821010,2477612,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:04,11067,821076,821012,943004,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
